Recommended_Crop,Potential_Disease,Disease_Solution,Recommended_Pesticide
Tomato,Yellow Spot,Fungicide application and plant resistant varieties,Abamectin
Tomato,Galls,Regular monitoring and fungicide application,Abamectin
Sugarcane,Early Blight,Apply appropriate bactericide and ensure proper water management,Tebuconazole
Rice,Wirestem,Apply copper-based fungicides,Carbendazim
Cotton,Stem Canker,Use resistant varieties and ensure proper drainage,Mancozeb
Tomato,Iron Chlorosis,Use resistant varieties and ensure proper drainage,Copper Oxychloride
Cotton,Botrytis Blight,Regular monitoring and fungicide application,Abamectin
Maize,Anthracnose,Apply appropriate bactericide and ensure proper water management,Metalaxyl
Potato,Fusarium Wilt,Apply copper-based fungicides,Mancozeb
Cotton,Sunburn,Improve drainage and use appropriate fungicides,Lambda-Cyhalothrin
Maize,Mosaic Virus,Regular monitoring and fungicide application,Myclobutanil
Rice,Brown Rot,Regular monitoring and fungicide application,Bacillus thuringiensis
Tomato,Rust,Fungicide application and plant resistant varieties,Copper Oxychloride
Maize,Root Knot Nematode,Apply appropriate bactericide and ensure proper water management,Spinosad
Peanut,Black Rot,Fungicide application and plant resistant varieties,Carbendazim
Wheat,Leaf Roll,Use resistant varieties and apply fungicide,Abamectin
Potato,Bacterial Leaf Blight,Use resistant varieties and apply fungicides,Abamectin
Sugarcane,Powdery Mildew,Use fungicides and practice crop rotation,Imidacloprid
Tomato,Rhizoctonia Root Rot,Regular monitoring and fungicide application,Metalaxyl
Tomato,Stem Rust,Use fungicide and practice crop rotation,Carbendazim
Maize,Black Rot,Apply copper-based fungicides,Sulfur
Potato,Verticillium Wilt,Use fungicides and practice crop rotation,Captan
Barley,Leaf Curl,Use resistant varieties and apply fungicides,Bacillus thuringiensis
Maize,Red Rot,Regular monitoring and fungicide application,Neem Oil
Potato,Streak,Apply appropriate bactericide and ensure proper water management,Azoxystrobin
Wheat,Galls,Improve drainage and use appropriate fungicides,Abamectin
Rice,White Mold,Use resistant varieties and apply fungicides,Spinosad
Cotton,Ring Spot,Use fungicides and practice crop rotation,Chlorothalonil
Soybean,White Rust,Use fungicide and practice crop rotation,Bacillus thuringiensis
Cotton,Zonate Leaf Spot,Apply copper-based fungicides,Spinosad
Rice,Clubroot,Regular monitoring and fungicide application,Spinosad
Potato,Crown Rot,Use fungicides and practice crop rotation,Carbendazim
Wheat,Alternaria Leaf Spot,Apply appropriate bactericide and ensure proper water management,Spinosad
Peanut,Stem Rot,Use resistant varieties and apply fungicides,Spinosad
Tomato,Botrytis Blight,Apply appropriate bactericide and ensure proper water management,Carbendazim
Sugarcane,Canker,Apply appropriate bactericide and ensure proper water management,Captan
Rice,Bacterial Soft Rot,Fungicide application and plant resistant varieties,Sulfur
Sugarcane,Sooty Mold,Use resistant varieties and apply fungicides,Chlorothalonil
